
mutation {
  achievedDescription: "Herzlichen Glückwunsch! Du hast alle Onboarding-Schritte erfolgreich gemeistert und dir das Abflugticket für Loki gesichert. Wir sind begeistert, dass du nun Teil unseres Teams bist und Schüler:innen auf ihrem Lernweg begleitest. Gemeinsam setzen wir uns für eine bessere Bildung in Deutschland ein. Du bist bereits jetzt ein:e Lern-Fair Held:in! ❤️ Danke für dein Engagement und deine Begeisterung!",
  image: "gamification/achievements/release/finish_onboarding/three_pieces/step_2.png",
  achievedImage: "gamification/achievements/release/finish_onboarding/three_pieces/step_3.png",
  actionName: "Infos zum Führungszeugnis",
  actionRedirectLink: "/certificate-of-conduct",
  actionType: "Action",
  condition: "student_coc_success_events > 0",
  conditionDataAggregations: "{\"student_coc_success_events\":{\"metric\":\"student_onboarding_coc_success\",\"aggregator\":\"count\"}}",
})
      

student_conduct_match_appointment_1: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "student_conduct_match_appointment",
  groupOrder: 1,
  sequentialStepName: null,
  type: "TIERED",
  title: "1 durchgeführter Termin",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du einen Nachhilfe-Termin erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Super! Du hattest deinen ersten Nachhilfe-Termin mit deinem:r Lernpartner:in. Bleibt am Ball und setzt eure Lernreise motiviert fort. Genau wie unsere Eule Loki noch eine lange Reise vor sich hat, gibt es auch für deine:n Lernpartner:in noch vieles zu lernen. Wir hoffen, dass ihr beim gemeinsamen Lernen genauso viel Spaß haben werdet wie Loki beim Paddeln.",
  image: "gamification/achievements/release/x_lectures_held/one_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_match_appointments_count > 0",
  conditionDataAggregations: "{\"student_match_appointments_count\":{\"metric\":\"student_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":1}}",
})
      

student_conduct_match_appointment_2: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "student_conduct_match_appointment",
  groupOrder: 2,
  sequentialStepName: null,
  type: "TIERED",
  title: "3 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du drei Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Prima! Du hattest nun schon drei Nachhilfe-Termine. Schön, dass ihr eure Lernreise so fleißig startet. Lokis Reise führt heute vorbei an einem schönen, blühenden Kirschbaum. Auch der Baum hat einmal klein angefangen.Genauso wie der Baum gewachsen ist, wächst auch das Wissen deines:r Lernpartner:in mit jedem Termin in der Lernunterstützung. Also macht weiter so!",
  image: "gamification/achievements/release/x_lectures_held/three_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_match_appointments_count > 2",
  conditionDataAggregations: "{\"student_match_appointments_count\":{\"metric\":\"student_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":3}}",
})
      

student_conduct_match_appointment_3: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "student_conduct_match_appointment",
  groupOrder: 3,
  sequentialStepName: null,
  type: "TIERED",
  title: "5 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du fünf Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Klasse! Fünf Nachhilfe-Termine in der Lernunterstützung habt ihr schon gemeinsam geschafft. Damit seid ihr auf eurer Lernreise schon weit gekommen. Loki schützt sich auf der Reise vor der Kälte in einem Iglu, das aus Eis gebaut wurde. Baut auch ihr weiter an dem Wissensschatz deiner:s Lernpartner:in, indem ihr weitere Termine in der Lernunterstützung absolviert. Tolle Arbeit, macht weiter!",
  image: "gamification/achievements/release/x_lectures_held/five_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_match_appointments_count > 4",
  conditionDataAggregations: "{\"student_match_appointments_count\":{\"metric\":\"student_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":5}}",
})
      

student_conduct_match_appointment_4: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "student_conduct_match_appointment",
  groupOrder: 4,
  sequentialStepName: null,
  type: "TIERED",
  title: "10 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du zehn Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Beeindruckend! Nun habt ihr schon zehn Nachhilfe-Termine in der Lernunterstützung wahrgenommen und ihr setzt eure gemeinsame Lernreise immer weiter fort. Loki befindet sich aktuell in der Wüste und ist beeindruckt von den unendlichen Weiten. Ähnlich wie in einer Wüste gibt es beim Lernen immer neue Möglichkeiten, weiter zu gehen. Und mit jedem Termin in der Lernunterstützung können du und dein:e Lernpartner:in Neues entdecken. Bleibt dran!",
  image: "gamification/achievements/release/x_lectures_held/ten_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_match_appointments_count > 9",
  conditionDataAggregations: "{\"student_match_appointments_count\":{\"metric\":\"student_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":10}}",
})
      

student_conduct_match_appointment_5: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "student_conduct_match_appointment",
  groupOrder: 5,
  sequentialStepName: null,
  type: "TIERED",
  title: "15 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 15 Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Absolut großartig! 15-mal habt ihr nun schon in der Lernunterstützung gemeinsam gelernt. Genau wie die Heißluftballons, die Loki auf der Reise entdeckt hat, steigt auch das Wissen deiner:s Lernpartner:in durch Lernen. Jedes Mal, wenn ihr gemeinsam lernt, füllt sich der Ballon des Wissens mit heißer Luft und hebt ab in neue Höhen. Je mehr Wissen angesammelt wird, desto höher steigt der Ballon und desto mehr könnt ihr in der Ferne entdecken. Bleibt dabei und fliegt weiter mit Loki!",
  image: "gamification/achievements/release/x_lectures_held/fifteen_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_match_appointments_count > 14",
  conditionDataAggregations: "{\"student_match_appointments_count\":{\"metric\":\"student_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":15}}",
})
      

student_conduct_match_appointment_6: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "student_conduct_match_appointment",
  groupOrder: 6,
  sequentialStepName: null,
  type: "TIERED",
  title: "25 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 25 Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Wow! Unglaubliche 25 Termine in der Lernunterstützung liegen jetzt schon hinter euch. Das ist wirklich beeindruckend und ein guter Zeitpunkt, um auf eure bisherige Lernreise zurückzublicken. Du kannst dir gemeinsam mit Loki die Nordlichter auf dem Bild anschauen und daran denken, was du schon alles gemeinsam mit deiner:m Lernpartner:in erreicht hast. Gut gemacht, macht weiter so!",
  image: "gamification/achievements/release/x_lectures_held/twentyfive_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_match_appointments_count > 24",
  conditionDataAggregations: "{\"student_match_appointments_count\":{\"metric\":\"student_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":25}}",
})
      

student_conduct_match_appointment_7: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "student_conduct_match_appointment",
  groupOrder: 7,
  sequentialStepName: null,
  type: "TIERED",
  title: "50 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 50 Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Wahnsinn! Du hast dich schon 50-mal in der Lernunterstützung engagiert. Dabei haben dein:e Lernpartner:in und du schon viel geschafft. Loki trifft sich gerade mit Freunden zu einem Picknick am Strand, wo sie sich daran erinnern, was sie bereits zusammen erlebt haben und die nächste Station ihrer Reise planen. Was wird die nächste Station eurer gemeinsamen Lernreise sein?",
  image: "gamification/achievements/release/x_lectures_held/fifty_lectures_held.png",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_match_appointments_count > 49",
  conditionDataAggregations: "{\"student_match_appointments_count\":{\"metric\":\"student_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":50}}",
})
      

student_conduct_course_appointment_1: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "student_conduct_course_appointment",
  groupOrder: 1,
  sequentialStepName: null,
  type: "TIERED",
  title: "1 durchgeführter Termin",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du einen Kurs-Termin erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Fantastisch! Du hast heute deinen ersten Termin in einem Gruppenkurs gegeben. Wir sind uns sicher, dass dieser Termin eine wertvolle Erfahrung für die Teilnehmer:innen war und sie auf ihrer Lernreise vorangebracht hat. Das neu gewonnene Wissen kann sie nun zu neuen Horizonten führen. Auch unsere Eule Loki geht gemeinsam mit Freunden auf Reisen. Fliegt gemeinsam weiter und erkundet die Welt des Wissens! ",
  image: "gamification/achievements/release/x_group_lectures_held/one_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_course_appointments_count > 0",
  conditionDataAggregations: "{\"student_course_appointments_count\":{\"metric\":\"student_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":1}}",
})
      

student_conduct_course_appointment_2: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "student_conduct_course_appointment",
  groupOrder: 2,
  sequentialStepName: null,
  type: "TIERED",
  title: "3 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du drei Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Wunderbar! Du hast drei Termine in Gruppenkursen durchgeführt. Damit bist du und die Teilnehmer:innen auf eurer gemeinsamen Lernreise schon weit gekommen. Loki reist gerade mit seinen Freunden in einem Auto. Wir sind gespannt, wo Lokis Reise hinführt und welche Stationen die nächsten auf eurer Lernreise sein werden. Weiter geht’s!",
  image: "gamification/achievements/release/x_group_lectures_held/three_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_course_appointments_count > 2",
  conditionDataAggregations: "{\"student_course_appointments_count\":{\"metric\":\"student_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":3}}",
})
      

student_conduct_course_appointment_3: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "student_conduct_course_appointment",
  groupOrder: 3,
  sequentialStepName: null,
  type: "TIERED",
  title: "5 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du fünf Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Super! Du hast schon fünf Termine in Gruppenkursen veranstaltet. Wir hoffen, dass du und die Teilnehmer:innen eine spannende Lernreise habt und dabei viel Neues entdeckt. Loki hat auf der Reise ein neues Fortbewegungsmittel für sich entdeckt und paddelt nun gemeinsam mit Freunden in einem kleinen Boot, auch Gondel genannt, über Wasserkanäle. Bleibt neugierig und erlebt weitere Lern-Abenteuer!",
  image: "gamification/achievements/release/x_group_lectures_held/five_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_course_appointments_count > 4",
  conditionDataAggregations: "{\"student_course_appointments_count\":{\"metric\":\"student_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":5}}",
})
      

student_conduct_course_appointment_4: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "student_conduct_course_appointment",
  groupOrder: 4,
  sequentialStepName: null,
  type: "TIERED",
  title: "10 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du zehn Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Klasse! Zehn Termine in Gruppenkursen liegen hinter dir und den Kursteilnehmer:innen. Dabei habt ihr bestimmt viel Neues gelernt und entdeckt. Loki macht auf der Reise gerade Halt in einer großen Stadt. Hier ist sehr viel los. Deshalb gibt es immer etwas zu beobachten und zu lernen für Loki. Was schaut ihr euch als nächstes an?",
  image: "gamification/achievements/release/x_group_lectures_held/ten_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_course_appointments_count > 9",
  conditionDataAggregations: "{\"student_course_appointments_count\":{\"metric\":\"student_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":10}}",
})
      

student_conduct_course_appointment_5: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "student_conduct_course_appointment",
  groupOrder: 5,
  sequentialStepName: null,
  type: "TIERED",
  title: "15 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 15 Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Großartig! In den vergangenen 15 Gruppenkursterminen haben du und die Kursteilnehmer:innen viel neues Wissen aufgebaut. Das ist mindestens genauso toll wie die Sandburgen, die Loki auf der Reise mit Freunden am Strand gebaut hat. Ihr könnt sehr zufrieden sein mit dem, was ihr bisher erreicht habt. Macht weiter so!",
  image: "gamification/achievements/release/x_group_lectures_held/fifteen_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_course_appointments_count > 14",
  conditionDataAggregations: "{\"student_course_appointments_count\":{\"metric\":\"student_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":15}}",
})
      

student_conduct_course_appointment_6: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "student_conduct_course_appointment",
  groupOrder: 6,
  sequentialStepName: null,
  type: "TIERED",
  title: "25 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 25 Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Wow! Beeindruckende 25 Termine in Gruppenkursen liegen nun hinter euch. Wir sind uns sicher, dass du und die Kursteilnehmer:innen dabei sehr viel gelernt und erlebt habt. Das ist ein guter Zeitpunkt, um sich daran zu erinnern. Auch Loki schaut auf viele tolle Erlebnisse während der Reise zurück und fliegt mit den Freunden weiter. Halte weitere Kurstermine und fliege auch du gemeinsam mit den Teilnehmer:innen weiter!",
  image: "gamification/achievements/release/x_group_lectures_held/twentyfive_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_course_appointments_count > 24",
  conditionDataAggregations: "{\"student_course_appointments_count\":{\"metric\":\"student_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":25}}",
})
      

student_conduct_course_appointment_7: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "student_conduct_course_appointment",
  groupOrder: 7,
  sequentialStepName: null,
  type: "TIERED",
  title: "50 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 50 Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Wahnsinn! Du hast 50 Gruppenkurstermine veranstaltet. Dabei haben die Kursteilnehmer:innen bestimmt viel gelernt. Du hast es dir verdient, dich einmal gedanklich auf einer Luftmatratze treiben zu lassen, so wie Loki auf dem Bild. Danach kannst du dich mit neuer Energie auf die Fortsetzung deiner Reise bei Lern-Fair begeben. Auf zum nächsten Lern-Abenteuer!",
  image: "gamification/achievements/release/x_group_lectures_held/fifty_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_course_appointments_count > 49",
  conditionDataAggregations: "{\"student_course_appointments_count\":{\"metric\":\"student_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":50}}",
})
      

student_offer_course_1: achievementTemplateCreate(data:{
  templateFor: "Course",
  group: "student_offer_course",
  groupOrder: 1,
  sequentialStepName: "Kurs entwerfen",
  type: "SEQUENTIAL",
  title: "Neuer Kurs",
  tagline: "{{course.name}}",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: null,
  description: "Wir freuen uns, wenn du einen Kurs auf unserer Plattform anbieten möchtest! Im Hilfestellungsbereich findest du unsere informativen Schulungs- und Erklärvideos, die dir den Einstieg erleichtern. Falls du Unterstützung benötigst, kannst du dort gerne einen Beratungstermin mit unserem pädagogischen Team buchen. Wir stehen bereit, um dich bei der Konzeption deines Kurses zu unterstützen und dir wertvolle Tipps zu geben. Dein Engagement bedeutet uns viel – wir können es kaum erwarten, gemeinsam mit dir neue Kurse zu entwefen und die Plattform zu bereichern!",
  achievedDescription: null,
  image: "course-image",
  achievedImage: null,
  actionName: "Kurs entwerfen",
  actionRedirectLink: "/create-course",
  actionType: "Action",
  condition: "student_create_course_events > 0",
  conditionDataAggregations: "{\"student_create_course_events\":{\"metric\":\"student_create_course\",\"aggregator\":\"count\"}}",
})
      

student_offer_course_2: achievementTemplateCreate(data:{
  templateFor: "Course",
  group: "student_offer_course",
  groupOrder: 2,
  sequentialStepName: "Kurs zur Prüfung freigeben",
  type: "SEQUENTIAL",
  title: "Neuer Kurs",
  tagline: "{{course.name}}",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: null,
  description: "Hurra, du hast den Kurs “{{course.name}}” erfolgreich erstellt. Damit er auf unserer Plattform veröffentlicht werden kann, musst du den Kurs zunächst zur Prüfung freigeben. Wir prüfen deinen Kurs innerhalb weniger Tage und veröffentlichen ihn dann automatisch für alle Schüler:innen.",
  achievedDescription: null,
  image: "course-image",
  achievedImage: null,
  actionName: "Kurs zur Prüfung freigeben",
  actionRedirectLink: "/single-course/{{subcourse.id}}",
  actionType: "Action",
  condition: "student_submit_course_events > 0",
  conditionDataAggregations: "{\"student_submit_course_events\":{\"metric\":\"student_submit_course\",\"aggregator\":\"count\"}}",
})
      

student_offer_course_3: achievementTemplateCreate(data:{
  templateFor: "Course",
  group: "student_offer_course",
  groupOrder: 3,
  sequentialStepName: "Freigabe erhalten",
  type: "SEQUENTIAL",
  title: "Neuer Kurs",
  tagline: "{{course.name}}",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: "Wow! Du hast alle Schritte abgeschlossen.",
  description: "Dein Kurs “{{course.name}}” wird derzeit von unserem Team überprüft. Wir können es kaum erwarten, ihn für alle Schüler:innen zur Anmeldung freizuschalten und damit das Wissensangebot für unsere Lerncommunity zu erweitern. Wir melden uns umgehend bei dir sobald dein Kurs online ist!",
  achievedDescription: "Juhu! Dein Kurs “{{course.name}}” ist veröffentlicht! Wir haben direkt nach der Freischaltung passende Schüler:innen auf deinen Kurs aufmerksam gemacht und rühren nun die Werbetrommel in unserer Community. Du kannst die Anmeldungen zu deinem Kurs jederzeit einsehen und live verfolgen, wie sich die Lernbegeisterten einschreiben. Vielen Dank für deinen wertvollen Beitrag zu unserer Lernplattform!",
  image: "course-image",
  achievedImage: null,
  actionName: "Kurs in Prüfung",
  actionRedirectLink: null,
  actionType: "Wait",
  condition: "student_approve_course_events > 0",
  conditionDataAggregations: "{\"student_approve_course_events\":{\"metric\":\"student_approve_course\",\"aggregator\":\"count\"}}",
})
      

student_course_participation_1: achievementTemplateCreate(data:{
  templateFor: "Course",
  group: "student_course_participation",
  groupOrder: 1,
