templateFor,type,group,step,role,title,tagline,subtitle,actionType,actionName,linkTo,description,achievedDescription,footer,sequentialStepName,achievedFooter,image name,imageLink,achievedImage,condition,conditionDataAggr
GlobalMatch,Tiered,student_conduct_match_appointment,3,student,5 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du fünf Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Klasse! Fünf Nachhilfe-Termine in der Lernunterstützung habt ihr schon gemeinsam geschafft. Damit seid ihr auf eurer Lernreise schon weit gekommen. Loki schützt sich auf der Reise vor der Kälte in einem Iglu; das aus Eis gebaut wurde. Baut auch ihr weiter an dem Wissensschatz deiner:s Lernpartner:in; indem ihr weitere Termine in der Lernunterstützung absolviert. Tolle Arbeit; macht weiter!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Iglu,gamification/achievements/release/x_lectures_held/five_lectures_held.jpg,,student_match_appointments_count > 4,"{""student_match_appointments_count"":{""metric"":""student_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":5}}"
GlobalMatch,Tiered,student_conduct_match_appointment,4,student,10 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du zehn Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Beeindruckend! Nun habt ihr schon zehn Nachhilfe-Termine in der Lernunterstützung wahrgenommen und ihr setzt eure gemeinsame Lernreise immer weiter fort. Loki befindet sich aktuell in der Wüste und ist beeindruckt von den unendlichen Weiten. Ähnlich wie in einer Wüste gibt es beim Lernen immer neue Möglichkeiten; weiter zu gehen. Und mit jedem Termin in der Lernunterstützung können du und dein:e Lernpartner:in Neues entdecken. Bleibt dran!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Wüste,gamification/achievements/release/x_lectures_held/ten_lectures_held.jpg,,student_match_appointments_count > 9,"{""student_match_appointments_count"":{""metric"":""student_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":10}}"
GlobalMatch,Tiered,student_conduct_match_appointment,5,student,15 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du 15 Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Absolut großartig! 15-mal habt ihr nun schon in der Lernunterstützung gemeinsam gelernt. Genau wie die Heißluftballons; die Loki auf der Reise entdeckt hat; steigt auch das Wissen deiner:s Lernpartner:in durch Lernen. Jedes Mal; wenn ihr gemeinsam lernt; füllt sich der Ballon des Wissens mit heißer Luft und hebt ab in neue Höhen. Je mehr Wissen angesammelt wird; desto höher steigt der Ballon und desto mehr könnt ihr in der Ferne entdecken. Bleibt dabei und fliegt weiter mit Loki!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Ballon,gamification/achievements/release/x_lectures_held/fifteen_lectures_held.jpg,,student_match_appointments_count > 14,"{""student_match_appointments_count"":{""metric"":""student_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":15}}"
GlobalMatch,Tiered,student_conduct_match_appointment,6,student,25 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du 25 Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Wow! Unglaubliche 25 Termine in der Lernunterstützung liegen jetzt schon hinter euch. Das ist wirklich beeindruckend und ein guter Zeitpunkt; um auf eure bisherige Lernreise zurückzublicken. Du kannst dir gemeinsam mit Loki die Nordlichter auf dem Bild anschauen und daran denken; was du schon alles gemeinsam mit deiner:m Lernpartner:in erreicht hast. Gut gemacht; macht weiter so!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Nordlichter,gamification/achievements/release/x_lectures_held/twentyfive_lectures_held.jpg,,student_match_appointments_count > 24,"{""student_match_appointments_count"":{""metric"":""student_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":25}}"
GlobalMatch,Tiered,student_conduct_match_appointment,7,student,50 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du 50 Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Wahnsinn! Du hast dich schon 50-mal in der Lernunterstützung engagiert. Dabei haben dein:e Lernpartner:in und du schon viel geschafft. Loki trifft sich gerade mit Freunden zu einem Picknick am Strand; wo sie sich daran erinnern; was sie bereits zusammen erlebt haben und die nächste Station ihrer Reise planen. Was wird die nächste Station eurer gemeinsamen Lernreise sein?,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Strand-Picknick,gamification/achievements/release/x_lectures_held/fifty_lectures_held.png,,student_match_appointments_count > 49,"{""student_match_appointments_count"":{""metric"":""student_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":50}}"
GlobalCourse,Tiered,student_conduct_course_appointment,1,student,1 durchgeführter Termin,Gruppenkurse,,None,,,Sobald du einen Kurs-Termin erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Fantastisch! Du hast heute deinen ersten Termin in einem Gruppenkurs gegeben. Wir sind uns sicher; dass dieser Termin eine wertvolle Erfahrung für die Teilnehmer:innen war und sie auf ihrer Lernreise vorangebracht hat. Das neu gewonnene Wissen kann sie nun zu neuen Horizonten führen. Auch unsere Eule Loki geht gemeinsam mit Freunden auf Reisen. Fliegt gemeinsam weiter und erkundet die Welt des Wissens! ,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Dschungel,gamification/achievements/release/x_group_lectures_held/one_group_lectures_held.jpg,,student_course_appointments_count > 0,"{""student_course_appointments_count"":{""metric"":""student_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":1}}"
GlobalCourse,Tiered,student_conduct_course_appointment,2,student,3 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du drei Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Wunderbar! Du hast drei Termine in Gruppenkursen durchgeführt. Damit bist du und die Teilnehmer:innen auf eurer gemeinsamen Lernreise schon weit gekommen. Loki reist gerade mit seinen Freunden in einem Auto. Wir sind gespannt; wo Lokis Reise hinführt und welche Stationen die nächsten auf eurer Lernreise sein werden. Weiter geht’s!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Auto,gamification/achievements/release/x_group_lectures_held/three_group_lectures_held.jpg,,student_course_appointments_count > 2,"{""student_course_appointments_count"":{""metric"":""student_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":3}}"
GlobalCourse,Tiered,student_conduct_course_appointment,3,student,5 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du fünf Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Super! Du hast schon fünf Termine in Gruppenkursen veranstaltet. Wir hoffen; dass du und die Teilnehmer:innen eine spannende Lernreise habt und dabei viel Neues entdeckt. Loki hat auf der Reise ein neues Fortbewegungsmittel für sich entdeckt und paddelt nun gemeinsam mit Freunden in einem kleinen Boot; auch Gondel genannt; über Wasserkanäle. Bleibt neugierig und erlebt weitere Lern-Abenteuer!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Gondeln,gamification/achievements/release/x_group_lectures_held/five_group_lectures_held.jpg,,student_course_appointments_count > 4,"{""student_course_appointments_count"":{""metric"":""student_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":5}}"
GlobalCourse,Tiered,student_conduct_course_appointment,4,student,10 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du zehn Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Klasse! Zehn Termine in Gruppenkursen liegen hinter dir und den Kursteilnehmer:innen. Dabei habt ihr bestimmt viel Neues gelernt und entdeckt. Loki macht auf der Reise gerade Halt in einer großen Stadt. Hier ist sehr viel los. Deshalb gibt es immer etwas zu beobachten und zu lernen für Loki. Was schaut ihr euch als nächstes an?,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Stadt,gamification/achievements/release/x_group_lectures_held/ten_group_lectures_held.jpg,,student_course_appointments_count > 9,"{""student_course_appointments_count"":{""metric"":""student_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":10}}"
GlobalCourse,Tiered,student_conduct_course_appointment,5,student,15 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du 15 Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Großartig! In den vergangenen 15 Gruppenkursterminen haben du und die Kursteilnehmer:innen viel neues Wissen aufgebaut. Das ist mindestens genauso toll wie die Sandburgen; die Loki auf der Reise mit Freunden am Strand gebaut hat. Ihr könnt sehr zufrieden sein mit dem; was ihr bisher erreicht habt. Macht weiter so!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Sandburg,gamification/achievements/release/x_group_lectures_held/fifteen_group_lectures_held.jpg,,student_course_appointments_count > 14,"{""student_course_appointments_count"":{""metric"":""student_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":15}}"
GlobalCourse,Tiered,student_conduct_course_appointment,6,student,25 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du 25 Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Wow! Beeindruckende 25 Termine in Gruppenkursen liegen nun hinter euch. Wir sind uns sicher; dass du und die Kursteilnehmer:innen dabei sehr viel gelernt und erlebt habt. Das ist ein guter Zeitpunkt; um sich daran zu erinnern. Auch Loki schaut auf viele tolle Erlebnisse während der Reise zurück und fliegt mit den Freunden weiter. Halte weitere Kurstermine und fliege auch du gemeinsam mit den Teilnehmer:innen weiter!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Düsterwald,gamification/achievements/release/x_group_lectures_held/twentyfive_group_lectures_held.jpg,,student_course_appointments_count > 24,"{""student_course_appointments_count"":{""metric"":""student_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":25}}"
GlobalCourse,Tiered,student_conduct_course_appointment,7,student,50 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du 50 Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Wahnsinn! Du hast 50 Gruppenkurstermine veranstaltet. Dabei haben die Kursteilnehmer:innen bestimmt viel gelernt. Du hast es dir verdient; dich einmal gedanklich auf einer Luftmatratze treiben zu lassen; so wie Loki auf dem Bild. Danach kannst du dich mit neuer Energie auf die Fortsetzung deiner Reise bei Lern-Fair begeben. Auf zum nächsten Lern-Abenteuer!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Pool,gamification/achievements/release/x_group_lectures_held/fifty_group_lectures_held.jpg,,student_course_appointments_count > 49,"{""student_course_appointments_count"":{""metric"":""student_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":50}}"
Course,Sequential,student_offer_course,1,student,Neuer Kurs,{{course.name}},,Action,Kurs entwerfen,/create-course,Wir freuen uns; wenn du einen Kurs auf unserer Plattform anbieten möchtest! Im Hilfestellungsbereich findest du unsere informativen Schulungs- und Erklärvideos; die dir den Einstieg erleichtern. Falls du Unterstützung benötigst; kannst du dort gerne einen Beratungstermin mit unserem pädagogischen Team buchen. Wir stehen bereit; um dich bei der Konzeption deines Kurses zu unterstützen und dir wertvolle Tipps zu geben. Dein Engagement bedeutet uns viel – wir können es kaum erwarten; gemeinsam mit dir neue Kurse zu entwefen und die Plattform zu bereichern!,,{{progress}} von {{maxValue}} Schritten abgeschlossen,Kurs entwerfen,,Kursbild,course-image,,student_create_course_events > 0,"{""student_create_course_events"":{""metric"":""student_create_course"";""aggregator"":""count""}}"
Course,Sequential,student_offer_course,2,student,Neuer Kurs,{{course.name}},,Action,Kurs zur Prüfung freigeben,/single-course/{{subcourse.id}},Hurra; du hast den Kurs “{{course.name}}” erfolgreich erstellt. Damit er auf unserer Plattform veröffentlicht werden kann; musst du den Kurs zunächst zur Prüfung freigeben. Wir prüfen deinen Kurs innerhalb weniger Tage und veröffentlichen ihn dann automatisch für alle Schüler:innen.,,{{progress}} von {{maxValue}} Schritten abgeschlossen,Kurs zur Prüfung freigeben,,Kursbild,course-image,,student_submit_course_events > 0,"{""student_submit_course_events"":{""metric"":""student_submit_course"";""aggregator"":""count""}}"
Course,Sequential,student_offer_course,3,student,Neuer Kurs,{{course.name}},,Wait,Kurs in Prüfung,,Dein Kurs “{{course.name}}” wird derzeit von unserem Team überprüft. Wir können es kaum erwarten; ihn für alle Schüler:innen zur Anmeldung freizuschalten und damit das Wissensangebot für unsere Lerncommunity zu erweitern. Wir melden uns umgehend bei dir sobald dein Kurs online ist!,Juhu! Dein Kurs “{{course.name}}” ist veröffentlicht! Wir haben direkt nach der Freischaltung passende Schüler:innen auf deinen Kurs aufmerksam gemacht und rühren nun die Werbetrommel in unserer Community. Du kannst die Anmeldungen zu deinem Kurs jederzeit einsehen und live verfolgen; wie sich die Lernbegeisterten einschreiben. Vielen Dank für deinen wertvollen Beitrag zu unserer Lernplattform!,{{progress}} von {{maxValue}} Schritten abgeschlossen,Freigabe erhalten,Wow! Du hast alle Schritte abgeschlossen.,Kursbild,course-image,,student_approve_course_events > 0,"{""student_approve_course_events"":{""metric"":""student_approve_course"";""aggregator"":""count""}}"
Course,Sequential,student_course_participation,1,student,Kurs erfolgreich beendet,{{course.name}},,None,,,This is not in use,,{{progress}} von {{maxValue}} Schritten abgeschlossen,Kurs veröffentlichen,This is not in use,Kursbild,course-image,,student_offer_course > 0,"{""student_offer_course"":{""metric"":""student_offer_course"";""aggregator"":""count""}}"
Course,Sequential,student_course_participation,2,student,Kurs erfolgreich beendet,{{course.name}},,Appointment,Zu den Terminen,/single-course/{{subcourse.id}},"Du erhältst diesen Erfolg sobald alle Termine deines Kurses ""{{course.name}}"" beendet wurden. Kontinuierliche Termine ermöglichen den Schüler:innen nicht nur; das Beste aus dem Kurs herauszuholen; sondern stärken auch ihre Lernfortschritte und das Verständnis der Kursinhalte.",Herzlichen Glückwunsch zum erfolgreichen Abschluss des letzten Termins deines Kurses {{course.name}}! Wir hoffen; die Kursleitung hat dir viel Freude bereitet und dass die Schüler:innen viel mitnehmen konnten. Dein Feedback ist uns sehr wichtig – wir freuen uns darauf; von deinen Erfahrungen zu hören! ,{{progress}} von {{maxValue}} Schritten abgeschlossen,Alle Kurs-Termine abschließen,Wow! Du hast den Kurs abgeschlossen.,Kursbild,course-image,,student_conducted_subcourse_appointment > 0,"{""student_conducted_subcourse_appointment"":{""metric"":""student_conducted_subcourse_appointment"";""aggregator"":""at_least_one_event_per_bucket"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events""}}"
Match,Streak,student_match_regular_learning,1,student,Rhythmus-Rekord,Nachhilfe mit {{partner.firstname}},Du hast {{progress}} Woche(n) in Folge mit {{partner.firstname}} gelernt!,None,,,Um diese Serie aufrechtzuerhalten; setze deine gemeinsamen Lernsessions mit {{partner.firstname}} weiter fort. Regelmäßiges Lernen bringt eine Fülle an Vorteilen mit sich; von verbessertem Wissen und Verständnis bis hin zu gesteigerter Effizienz und Selbstvertrauen. Ihr seid definitiv auf dem richtigen Weg; um eure Ziele zu erreichen!,,Noch {{remainingProgress}} Woche(n) in Folge lernen bis zum neuen Rekord!,,Hurra; du erhöhst deinen Rekord weiter!,Puzzle,gamification/achievements/release/streaks/regular_learning_set.png,gamification/achievements/release/streaks/regular_learning_achieved.png,student_match_learning_events > recordValue,"{""student_match_learning_events"":{""metric"":""student_match_learned_regular"";""aggregator"":""last_streak_length"";""createBuckets"":""by_weeks"";""bucketAggregator"":""presence_of_events""}}"
